longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-120.5222,35.01,42,11595,3434,2766,1030,2.4505,INLAND,337388
-114.6337,34.8716,21,8824,1672,3214,1030,2.8002,INLAND,243715
-116.869,41.0688,37,14594,2453,3113,985,2.2798,INLAND,258598
-118.2317,34.8957,27,13456,2635,5828,1501,3.4953,NEAR OCEAN,447002
-122.7555,35.1063,52,1035,141,361,100,10.6388,NEAR OCEAN,500000
-122.7557,39.6883,29,10638,1517,3109,1347,12.6317,NEAR OCEAN,500000
-123.7564,36.7776,20,2462,479,578,259,6.7234,INLAND,354063
-115.4977,39.8511,25,9289,2389,2950,1198,10.6989,<1H OCEAN,500000
-118.2066,33.1644,6,12024,3391,5458,1677,3.8002,INLAND,267382
-117.1135,37.1332,36,4767,1142,2087,689,14.6259,NEAR OCEAN,500000
-124.1396,32.866,2,4015,557,930,370,5.9,<1H OCEAN,420565
-114.4375,33.1389,22,446,107,94,41,12.8421,NEAR BAY,500000
-115.8424,41.0705,32,2629,616,429,146,14.2351,NEAR OCEAN,500000
-122.1799,33.8589,16,9382,2486,1465,609,13.106,INLAND,500000
-122.4917,37.5548,18,11702,3142,6903,3071,1.9389,INLAND,282766
-122.4756,36.4143,5,9318,2574,1607,682,10.1043,INLAND,489029
-121.2406,35.815,36,11830,2301,6099,1801,2.6813,INLAND,324216
-118.987,41.0084,30,5487,1347,3215,808,1.0793,INLAND,330693
-119.9355,32.7551,45,2807,472,558,194,1.725,NEAR OCEAN,351089
-121.3736,38.7896,19,9466,2838,3484,1241,13.8261,INLAND,500000
-118.0969,41.6059,23,6130,929,3868,1122,13.7185,NEAR OCEAN,500000
-122.9244,37.8156,34,4222,514,2394,734,4.1615,NEAR OCEAN,413706
-121.3643,41.3561,13,12191,1789,4813,1939,8.6589,<1H OCEAN,474243
-120.6058,33.0412,43,4984,1294,2647,910,14.3704,<1H OCEAN,500000
-119.689,36.4867,29,14915,2989,8452,2649,7.9539,NEAR OCEAN,500000
-116.3255,34.9955,36,6817,1367,2208,826,6.5101,<1H OCEAN,474907
-122.3093,39.4197,22,3351,978,1997,759,7.7655,INLAND,473728
-119.0945,41.7742,52,11830,3377,4557,1840,12.063,INLAND,500000
-118.2955,34.9614,52,5780,1017,2392,672,7.6819,<1H OCEAN,500000
-123.8753,38.6992,47,7254,1143,4714,1877,11.9659,<1H OCEAN,500000
-118.1409,34.4121,36,7906,2156,4519,1671,7.0438,NEAR OCEAN,500000
-122.6072,37.8641,9,7819,2213,2587,676,4.5281,INLAND,375325
-123.6852,36.911,39,13447,2924,2086,845,5.5706,INLAND,369130
-114.6524,41.6869,51,4773,1113,2210,721,2.0895,NEAR BAY,368691
-114.4812,38.2702,19,3691,613,1852,585,7.9633,<1H OCEAN,482898
-116.0882,35.8354,38,906,239,430,146,3.0736,<1H OCEAN,345357
-121.2368,33.6225,6,7197,1682,4562,1456,12.3617,NEAR OCEAN,500000
-123.3518,33.9717,52,5433,1144,3159,1003,6.8883,NEAR OCEAN,500000
-117.3571,34.668,47,11456,1498,4289,1765,11.71,INLAND,500000
-119.8516,34.9091,15,9145,2605,1659,456,14.3624,NEAR BAY,500000
-123.1028,40.5458,20,5955,1374,2310,1025,12.8927,NEAR BAY,500000
-119.2893,37.8255,9,7160,1107,3541,1278,14.3205,<1H OCEAN,500000
-123.9985,37.4699,32,8979,2057,4075,1167,8.9511,<1H OCEAN,500000
-115.0567,33.6288,4,1534,371,642,177,3.3145,NEAR OCEAN,314679
-121.7053,40.6353,50,5788,1242,2224,819,14.0955,<1H OCEAN,500000
-117.579,39.3445,18,2047,510,607,228,13.1591,<1H OCEAN,500000
-121.1643,33.1861,5,7051,1584,2035,530,13.1018,NEAR OCEAN,500000
-119.0349,39.2036,20,12326,3581,4931,1472,10.7058,INLAND,488036
-118.7626,37.6593,23,7411,960,1706,697,9.7488,INLAND,500000
-122.4608,33.3182,11,8065,1122,2583,671,1.2061,<1H OCEAN,372433
-114.4408,36.858,37,12318,1863,3843,1617,11.4728,INLAND,500000
-116.4281,37.1061,22,3517,858,1560,595,2.2815,INLAND,272460
-114.7483,34.1083,4,12412,2931,2275,766,4.6365,<1H OCEAN,425135
